manager,security,ISIN,as_of,total_shares_held,percent_shares_held,filing_date,filing
Elara India,Adani Transmission Ltd,INE931S01010,2016-09-30,46436983,4.22,2016-10-14,Threshold Routine
Elara India,Adani Transmission Ltd,INE931S01010,2016-06-30,46436983,4.22,2016-07-18,Threshold Routine
Elara India,MEP Infrastructure Developers Ltd,INE776I01010,2019-12-31,2000000,1.09,2020-01-14,Threshold Routine
Elara India,MEP Infrastructure Developers Ltd,INE776I01010,2019-09-30,2000000,1.09,2019-10-18,Threshold Routine
Elara India,Adani Transmission Ltd,INE931S01010,2017-06-30,54216590,4.93,2017-07-10,Threshold Routine
Elara India,ADANI POWER LTD.,INE814H01011,2019-03-31,116715467,3.03,2019-04-18,Threshold Routine
Elara India,GALLANTT ISPAT LTD.,INE528K01029,2015-12-31,590512,2.09,2016-01-23,Threshold Routine
Elara India,ADANI POWER LTD.,INE814H01011,2016-09-30,101153040,2.96,2016-10-15,Threshold Routine
Elara India,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,INE742F01042,2017-06-30,36013515,1.74,2017-07-21,Threshold Routine
Elara India,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,INE742F01042,2017-03-31,39910923,1.93,2017-04-21,Threshold Routine
Elara India,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,INE742F01042,2016-12-31,42065959,2.03,2017-01-17,Threshold Routine
Elara India,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,INE742F01042,2016-09-30,52115430,2.52,2016-10-16,Threshold Routine
Elara India,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,INE742F01042,2016-06-30,56018230,2.7,2016-07-20,Threshold Routine
Elara India,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,INE742F01042,2015-12-31,51536245,2.49,2016-01-25,Threshold Routine
Elara India,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,INE742F01042,2017-09-30,26795798,1.29,2017-10-17,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2019-12-31,1846067,7.25,2020-01-14,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2019-03-31,1846067,7.78,2019-05-10,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2018-12-31,1846067,7.78,2019-01-14,Threshold Routine
