QuarterEnd,Manager,TotalMktValue,PortfolioReturn,PortfolioBeta,PortfolioReturnPercentage,MktReturn,rolling_6Months,BMExcessRt,alpha
2017-12-31,Steadview,45369844005.689995,0.152906,1.0921,15.2906,0.09258741644835866,0.09821449999999998,0.0603,0.0518
2018-03-31,Steadview,35371088039.99,-0.08408099999999999,1.066,-8.4081,-0.050753730808116626,0.034412499999999985,-0.0333,-0.03
2018-06-30,Steadview,73637082886.15001,0.324836,1.1201,32.4836,0.04485078965946143,0.1203775,0.28,0.2746
2018-09-30,Steadview,98961159781.61,-0.010401000000000011,1.1182,-1.0401,0.03567511891289721,0.15721749999999998,-0.0461,-0.0503
2018-12-31,Steadview,81557582283.87997,-0.02711,1.1501,-2.711,-0.01507918633069727,-0.018755500000000036,-0.012,-0.0098
2019-03-31,Steadview,89201125216.65,0.031184000000000007,1.1374,3.1184,0.06595205174988616,0.002036999999999973,-0.0348,-0.0438
2019-06-30,Steadview,87590475608.34999,0.01971800000000002,1.1199,1.9718,-0.0007293515746765733,0.02545099999999998,0.0204,0.0205
2019-09-30,Steadview,64627887248.24999,-0.00545100000000001,1.1341,-0.5451,-0.027590024653668666,0.0071334999999999715,0.0221,0.0258
2019-12-31,Steadview,56189035305.69999,0.129699,0.9181,12.9699,0.06145650024264393,0.06212399999999997,0.0682,0.0733
2020-03-31,Steadview,59627406.399999976,0.499858,0.8356,49.9858,-0.003158657433522616,0.31477849999999996,0.503,0.5025
